model,family,direction,layer,pairs,task_groups,effect,clean_gap,recovery_pct
qwen3-4b,semantic,high_to_low,18,175,35,2.088103741496599,18.772021683673472,11.123488863816297
qwen3-4b,semantic,high_to_low,23,175,35,13.518078231292517,18.772021683673472,72.0118400622217
qwen3-4b,semantic,high_to_low,34,175,35,18.467414965986393,18.772021683673472,98.37733664056012
qwen3-4b,semantic,high_to_low,29,175,35,17.39720238095238,18.772021683673472,92.6762320761817
qwen3-4b,semantic,high_to_low,24,175,35,13.356403061224489,18.772021683673472,71.15058402495299
qwen3-4b,semantic,high_to_low,21,175,35,11.963099489795919,18.772021683673472,63.72834898331992
qwen3-4b,semantic,high_to_low,31,175,35,18.270933248299322,18.772021683673472,97.33066345320728
qwen3-4b,semantic,high_to_low,26,175,35,15.345537840136055,18.772021683673472,81.7468576305901
qwen3-4b,semantic,high_to_low,19,175,35,6.930939625850339,18.772021683673472,36.92164723993666
qwen3-4b,semantic,high_to_low,27,175,35,16.12540603741496,18.772021683673472,85.90127536151131
qwen3-4b,semantic,high_to_low,33,175,35,18.476475340136055,18.772021683673472,98.42560194891283
qwen3-4b,semantic,high_to_low,35,175,35,18.77170705782313,18.772021683673472,99.99832396395206
qwen3-4b,semantic,high_to_low,25,175,35,14.997716836734698,18.772021683673472,79.89398845505603
qwen3-4b,semantic,high_to_low,32,175,35,18.300461309523804,18.772021683673472,97.48796170121732
qwen3-4b,semantic,high_to_low,28,175,35,17.162474489795915,18.772021683673472,91.42581858789657
qwen3-4b,semantic,high_to_low,22,175,35,12.38702380952381,18.772021683673472,65.98662636479446
qwen3-4b,semantic,high_to_low,30,175,35,18.262008928571426,18.772021683673472,97.2831229171996
qwen3-4b,semantic,high_to_low,20,175,35,9.85701955782313,18.772021683673472,52.509099573414844
qwen3-4b,semantic,low_to_high,26,175,35,14.655457057823131,18.772021683673472,78.07074434912556
qwen3-4b,semantic,low_to_high,29,175,35,17.767038690476188,18.772021683673472,94.64637847679803
qwen3-4b,semantic,low_to_high,18,175,35,-0.3710267857142857,18.772021683673472,-1.9764881586354526
qwen3-4b,semantic,low_to_high,34,175,35,18.655406037414966,18.772021683673472,99.37877950375515
qwen3-4b,semantic,low_to_high,33,175,35,18.694079506802723,18.772021683673472,99.58479604283359
qwen3-4b,semantic,low_to_high,35,175,35,18.771957908163262,18.772021683673472,99.99966026296323
qwen3-4b,semantic,low_to_high,32,175,35,18.671673044217687,18.772021683673472,99.46543509725933
qwen3-4b,semantic,low_to_high,27,175,35,16.29560586734694,18.772021683673472,86.80794291602413
qwen3-4b,semantic,low_to_high,19,175,35,-0.30036564625850337,18.772021683673472,-1.6000708464967277
qwen3-4b,semantic,low_to_high,22,175,35,2.085403911564626,18.772021683673472,11.109106662594352
qwen3-4b,semantic,low_to_high,25,175,35,14.136362670068028,18.772021683673472,75.30548871229358
qwen3-4b,semantic,low_to_high,21,175,35,0.6526424319727893,18.772021683673472,3.476676316330967
qwen3-4b,semantic,low_to_high,23,175,35,9.634895833333335,18.772021683673472,51.32582944815721
qwen3-4b,semantic,low_to_high,31,175,35,18.704207057823133,18.772021683673472,99.63874628426773
qwen3-4b,semantic,low_to_high,24,175,35,9.379190051020407,18.772021683673472,49.96366512392077
qwen3-4b,semantic,low_to_high,28,175,35,17.792281037414966,18.772021683673472,94.78084639593926
qwen3-4b,semantic,low_to_high,30,175,35,18.61145195578231,18.772021683673472,99.14463273803474
qwen3-4b,semantic,low_to_high,20,175,35,-0.04491284013605442,18.772021683673472,-0.2392541458393707
qwen3-4b,structural,high_to_low,23,87,51,20.560866013071898,29.151143790849673,70.53193576413219
qwen3-4b,structural,high_to_low,22,87,51,15.571078431372548,29.151143790849673,53.41498276393599
qwen3-4b,structural,high_to_low,32,87,51,28.21058006535948,29.151143790849673,96.77349289537851
qwen3-4b,structural,high_to_low,25,87,51,24.979166666666668,29.151143790849673,85.68846164625432
qwen3-4b,structural,high_to_low,29,87,51,26.74183006535948,29.151143790849673,91.73509711050701
qwen3-4b,structural,high_to_low,35,87,51,29.150326797385624,29.151143790849673,99.9971973879656
qwen3-4b,structural,high_to_low,20,87,51,1.4080882352941173,29.151143790849673,4.830301841316106
qwen3-4b,structural,high_to_low,31,87,51,28.14093137254902,29.151143790849673,96.53457021944453
qwen3-4b,structural,high_to_low,30,87,51,28.17218137254902,29.151143790849673,96.64177012976094
qwen3-4b,structural,high_to_low,24,87,51,23.676879084967318,29.151143790849673,81.22109806339508
qwen3-4b,structural,high_to_low,26,87,51,25.229779411764707,29.151143790849673,86.54816288781144
qwen3-4b,structural,high_to_low,27,87,51,26.022263071895427,29.151143790849673,89.26669656119505
qwen3-4b,structural,high_to_low,28,87,51,26.652573529411768,29.151143790849673,91.42891174574704
qwen3-4b,structural,high_to_low,21,87,51,7.371732026143789,29.151143790849673,25.287968386536242
qwen3-4b,structural,high_to_low,33,87,51,28.318627450980394,29.151143790849673,97.14413833693003
qwen3-4b,structural,high_to_low,34,87,51,28.58823529411765,29.151143790849673,98.06900030828733
qwen3-4b,structural,low_to_high,25,87,51,22.397058823529413,29.151143790849673,76.8308063114823
qwen3-4b,structural,low_to_high,28,87,51,25.10906862745098,29.151143790849673,86.13407695972646
qwen3-4b,structural,low_to_high,27,87,51,24.122549019607842,29.151143790849673,82.74992292816904
qwen3-4b,structural,low_to_high,26,87,51,22.714460784313726,29.151143790849673,77.91962108685294
qwen3-4b,structural,low_to_high,32,87,51,28.562908496732028,29.151143790849673,97.98211933522043
qwen3-4b,structural,low_to_high,20,87,51,1.3423202614379084,29.151143790849673,4.604691572545613
qwen3-4b,structural,low_to_high,29,87,51,25.068627450980397,29.151143790849673,85.99534766402289
qwen3-4b,structural,low_to_high,33,87,51,28.52777777777778,29.151143790849673,97.86160701774054
qwen3-4b,structural,low_to_high,34,87,51,28.61029411764706,29.151143790849673,98.14467083321658
qwen3-4b,structural,low_to_high,30,87,51,28.501633986928102,29.151143790849673,97.7719234326392
qwen3-4b,structural,low_to_high,35,87,51,29.1609477124183,29.151143790849673,100.03363134441298
qwen3-4b,structural,low_to_high,24,87,51,15.030637254901961,29.151143790849673,51.56105490316976
qwen3-4b,structural,low_to_high,23,87,51,13.91830065359477,29.151143790849673,47.74529861831226
qwen3-4b,structural,low_to_high,21,87,51,3.3098447712418304,29.151143790849673,11.354082004428129
qwen3-4b,structural,low_to_high,22,87,51,9.25388071895425,29.151143790849673,31.744485860822287
qwen3-4b,structural,low_to_high,31,87,51,28.539624183006538,29.151143790849673,97.90224489223957
qwen3-8b,semantic,high_to_low,20,175,35,6.657636054421768,21.686666666666667,30.699213285068094
qwen3-8b,semantic,high_to_low,35,175,35,21.686840986394557,21.686666666666667,100.00080381061125
qwen3-8b,semantic,high_to_low,22,175,35,11.696198979591836,21.686666666666667,53.93267282320244
qwen3-8b,semantic,high_to_low,21,175,35,8.962465986394559,21.686666666666667,41.32707955607697
qwen3-8b,semantic,high_to_low,33,175,35,21.714982993197278,21.686666666666667,100.13057021148452
qwen3-8b,semantic,high_to_low,28,175,35,20.666666666666664,21.686666666666667,95.29664924684906
qwen3-8b,semantic,high_to_low,19,175,35,3.951539115646258,21.686666666666667,18.221053407529624
qwen3-8b,semantic,high_to_low,25,175,35,18.142555272108844,21.686666666666667,83.65764804230945
qwen3-8b,semantic,high_to_low,27,175,35,19.45143707482993,21.686666666666667,89.69306981938179
qwen3-8b,semantic,high_to_low,32,175,35,21.782712585034016,21.686666666666667,100.44288004165699
qwen3-8b,semantic,high_to_low,30,175,35,21.67845663265306,21.686666666666667,99.96214248072422
qwen3-8b,semantic,high_to_low,23,175,35,15.963724489795913,21.686666666666667,73.61078000213301
qwen3-8b,semantic,high_to_low,24,175,35,15.966751700680271,21.686666666666667,73.62473885957704
qwen3-8b,semantic,high_to_low,29,175,35,20.759940476190476,21.686666666666667,95.72674673927364
qwen3-8b,semantic,high_to_low,26,175,35,18.172742346938776,21.686666666666667,83.79684451401218
qwen3-8b,semantic,high_to_low,31,175,35,21.734183673469392,21.686666666666667,100.21910700954223
qwen3-8b,semantic,high_to_low,34,175,35,21.601636904761904,21.686666666666667,99.60791686794606
qwen3-8b,semantic,low_to_high,23,175,35,13.298664965986395,21.686666666666667,61.32184890556284
qwen3-8b,semantic,low_to_high,27,175,35,19.314149659863947,21.686666666666667,89.06001995018727
qwen3-8b,semantic,low_to_high,32,175,35,21.604209183673476,21.686666666666667,99.61977797574612
qwen3-8b,semantic,low_to_high,20,175,35,2.3788222789115645,21.686666666666667,10.969054467775427
qwen3-8b,semantic,low_to_high,19,175,35,1.9371811224489797,21.686666666666667,8.932590481627633
qwen3-8b,semantic,low_to_high,26,175,35,17.14316326530613,21.686666666666667,79.04932338751674
qwen3-8b,semantic,low_to_high,31,175,35,21.545918367346935,21.686666666666667,99.35099154940178
qwen3-8b,semantic,low_to_high,21,175,35,3.188465136054421,21.686666666666667,14.702421469663792
qwen3-8b,semantic,low_to_high,22,175,35,5.877597789115646,21.686666666666667,27.102356851132704
qwen3-8b,semantic,low_to_high,29,175,35,20.544838435374146,21.686666666666667,94.7348836552758
qwen3-8b,semantic,low_to_high,24,175,35,13.17888605442177,21.686666666666667,60.769532989955906
qwen3-8b,semantic,low_to_high,28,175,35,20.674277210884355,21.686666666666667,95.33174244182764
qwen3-8b,semantic,low_to_high,33,175,35,21.655697278911564,21.686666666666667,99.85719618311512
qwen3-8b,semantic,low_to_high,35,175,35,21.687440476190478,21.686666666666667,100.00356813490843
qwen3-8b,semantic,low_to_high,30,175,35,21.5593537414966,21.686666666666667,99.41294378187797
qwen3-8b,semantic,low_to_high,34,175,35,21.705663265306125,21.686666666666667,100.08759575148844
qwen3-8b,semantic,low_to_high,25,175,35,16.748392857142854,21.686666666666667,77.22898643010845
qwen3-8b,structural,high_to_low,27,87,51,30.116013071895427,34.07883986928105,88.37159124962541
qwen3-8b,structural,high_to_low,23,87,51,24.693218954248362,34.07883986928105,72.45909499550494
qwen3-8b,structural,high_to_low,35,87,51,34.07843137254902,34.07883986928105,99.9988013185496
qwen3-8b,structural,high_to_low,28,87,51,30.49428104575163,34.07883986928105,89.48157027270001
qwen3-8b,structural,high_to_low,29,87,51,30.6781045751634,34.07883986928105,90.02097692538207
qwen3-8b,structural,high_to_low,25,87,51,28.83986928104575,34.07883986928105,84.62691039856156
qwen3-8b,structural,high_to_low,21,87,51,12.92156862745098,34.07883986928105,37.916691639196884
qwen3-8b,structural,high_to_low,33,87,51,32.84313725490196,34.07883986928105,96.37398861252622
qwen3-8b,structural,high_to_low,30,87,51,32.64297385620915,34.07883986928105,95.78663470182799
qwen3-8b,structural,high_to_low,34,87,51,33.42565359477124,34.07883986928105,98.08330836080312
qwen3-8b,structural,high_to_low,32,87,51,32.78227124183006,34.07883986928105,96.19538507641592
qwen3-8b,structural,high_to_low,24,87,51,26.893790849673206,34.07883986928105,78.91639196883429
qwen3-8b,structural,high_to_low,22,87,51,20.73856209150327,34.07883986928105,60.85465987413844
qwen3-8b,structural,high_to_low,26,87,51,29.08578431372549,34.07883986928105,85.34851663170512
qwen3-8b,structural,high_to_low,31,87,51,32.59272875816993,34.07883986928105,95.63919688342821
qwen3-8b,structural,low_to_high,22,87,51,14.879493464052286,34.07883986928105,43.66197183098591
qwen3-8b,structural,low_to_high,35,87,51,34.076388888888886,34.07883986928105,99.99280791129756
qwen3-8b,structural,low_to_high,21,87,51,4.215277777777778,34.07883986928105,12.369193886724602
qwen3-8b,structural,low_to_high,33,87,51,33.71282679738562,34.07883986928105,98.9259814204375
qwen3-8b,structural,low_to_high,32,87,51,33.79616013071895,34.07883986928105,99.17051243632004
qwen3-8b,structural,low_to_high,23,87,51,20.238970588235293,34.07883986928105,59.38867246029367
qwen3-8b,structural,low_to_high,28,87,51,30.60825163398693,34.07883986928105,89.81600239736291
qwen3-8b,structural,low_to_high,30,87,51,33.83864379084967,34.07883986928105,99.29517530716211
qwen3-8b,structural,low_to_high,24,87,51,21.602532679738562,34.07883986928105,63.389871141744074
qwen3-8b,structural,low_to_high,29,87,51,30.613970588235293,34.07883986928105,89.83278393766855
qwen3-8b,structural,low_to_high,27,87,51,29.95302287581699,34.07883986928105,87.89331735091399
qwen3-8b,structural,low_to_high,34,87,51,33.7732843137255,34.07883986928105,99.1033862750974
qwen3-8b,structural,low_to_high,26,87,51,29.06821895424837,34.07883986928105,85.29697332933773
qwen3-8b,structural,low_to_high,25,87,51,28.955473856209146,34.07883986928105,84.96613724902605
qwen3-8b,structural,low_to_high,31,87,51,33.844362745098046,34.07883986928105,99.3119568474678
