model_key,family,contrast,split,pair_id,cluster_id,direction,layer,clean_donor_margin,clean_recipient_margin,clean_gap_abs,patched_margin,donor_aligned_effect
qwen3-4b,semantic,decoy-success-vs-failure,confirmation,semantic:stateful-procurement_suppliers-set_expedited_delivery_days-02:decoy-observation,procurement-performance-vs-expedite,high_to_low,35,21.8125,4.25,17.5625,21.8125,17.5625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_credit_adjustment_value-04:decoy-observation,pricing-credit-vs-fx,high_to_low,18,22.5,3.75,18.75,5.5,1.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-record_tax_basis-00:decoy-observation,finance-fee-vs-tax-basis,high_to_low,23,24.6875,4.875,19.8125,18.625,13.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_account_hold_amount-04:decoy-observation,finance-ledger-vs-hold,high_to_low,34,23.25,5.0,18.25,23.0,18.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-activate_list_price-01:decoy-observation,pricing-list-vs-margin,high_to_low,29,23.5,3.25,20.25,22.3125,19.0625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_revision_approval-03:decoy-observation,contracts-deadline-vs-version,high_to_low,24,21.125,1.0,20.125,15.5,14.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_payment_status_code-01:decoy-observation,finance-fx-vs-payment,high_to_low,21,23.375,6.25,17.125,16.0,9.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_case_priority-00:decoy-observation,support-priority-vs-escalation,high_to_low,21,22.4375,4.5,17.9375,16.25,11.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_tax_rate-04:decoy-observation,pricing-tax-vs-shipping,high_to_low,31,19.875,4.25,15.625,19.25,15.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_effective_clause_text-01:decoy-observation,contracts-clause-vs-obligation,high_to_low,21,23.625,3.125,20.5,17.0,13.875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_contract_allowed_price-00:decoy-observation,procurement-contract-vs-receipt,high_to_low,26,23.1875,2.625,20.5625,19.875,17.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_source_transfer_cost-01:decoy-observation,inventory-source-cost-vs-expiry,high_to_low,24,21.375,0.875,20.5,15.5,14.625
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_supplier_performance_value-01:decoy-observation,procurement-performance-vs-expedite,high_to_low,19,21.9375,4.0,17.9375,14.375,10.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_contract_deadline_offset-02:decoy-observation,contracts-deadline-vs-version,high_to_low,24,23.1875,1.875,21.3125,17.125,15.25
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-inventory_fulfillment-set_bin_pick_sequence-00:decoy-observation,inventory-priority-vs-pick,high_to_low,34,24.0,4.5,19.5,23.5,19.0
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-set_expedited_delivery_days-04:decoy-observation,procurement-performance-vs-expedite,high_to_low,23,22.5625,4.0,18.5625,17.5,13.5
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-procurement_suppliers-assign_quote_supplier-01:decoy-observation,procurement-certification-vs-quote,high_to_low,19,22.75,3.75,19.0,8.5,4.75
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-contracts_documents-set_effective_clause_text-01:decoy-observation,contracts-clause-vs-obligation,high_to_low,27,23.625,3.125,20.5,21.25,18.125
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-customer_support-set_next_case_action-03:decoy-observation,support-action-vs-channel,high_to_low,33,23.3125,7.875,15.4375,23.25,15.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-workforce_access-set_access_minimum_clearance-00:decoy-observation,workforce-access-vs-role,high_to_low,33,23.875,2.25,21.625,23.4375,21.1875
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-pricing_billing-set_service_fee_value-01:decoy-observation,pricing-fee-vs-discount,high_to_low,35,21.5,5.125,16.375,21.5,16.375
qwen3-4b,semantic,decoy-success-vs-failure,external_confirmation,semantic:stateful-finance_ledger-set_journal_debit_amount-01:decoy-observation,finance-journal-vs-audit-event,high_to_low,29,23.6875,4.125,19.5625,22.0625,17.9375
