family,model_key,pair_id,cluster_id,control,direction,activation_donor_pair_id,clean_recipient_margin,clean_reference_paired_donor_margin,patched_margin,donor_aligned_effect,clean_gap_abs
structural,qwen3-4b,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success,resolve_audit_sample,same_condition_token_matched,high_to_low,structural:compliance_audit-risk_rating-04:sub-operations-no-last:after_penultimate_success,10.0,34.5,5.75,-4.25,24.5
structural,qwen3-4b,structural:procurement_suppliers-contract_compliance-03:sub-operations-no-last:after_penultimate_success,resolve_contract_compliance,same_condition_token_matched,high_to_low,structural:procurement_suppliers-purchase_limit-03:sub-operations-no-last:after_penultimate_success,8.0,28.5,-14.25,-22.25,20.5
structural,qwen3-4b,structural:pricing_billing-currency_amount-04:sub-operations-no-last:after_penultimate_success,resolve_currency_amount,same_condition_token_matched,high_to_low,structural:pricing_billing-promotional_price-00:sub-operations-no-last:after_penultimate_success,-18.0,7.5,23.75,41.75,25.5
structural,qwen3-4b,structural:finance_ledger-budget_variance-00:sub-operations-no-last:after_penultimate_success,resolve_budget_variance,same_condition_token_matched,high_to_low,structural:finance_ledger-transaction_fee-00:sub-operations-no-last:after_penultimate_success,10.0,33.75,6.25,-3.75,23.75
structural,qwen3-4b,structural:workforce_access-delegation_scope-03:sub-operations-no-last:after_penultimate_success,resolve_delegation_scope,same_condition_token_matched,high_to_low,structural:workforce_access-shift_eligibility-04:sub-operations-no-last:after_penultimate_success,-5.25,35.5,25.5,30.75,40.75
structural,qwen3-4b,structural:finance_ledger-book_balance-00:sub-operations-no-last:after_penultimate_success,resolve_book_balance,same_condition_token_matched,high_to_low,structural:finance_ledger-reconciliation_status-04:sub-operations-no-last:after_penultimate_success,9.25,24.75,5.0,-4.25,15.5
structural,qwen3-4b,structural:workforce_access-badge_expiry-02:sub-operations-no-last:after_penultimate_success,resolve_badge_expiry,same_condition_token_matched,high_to_low,structural:workforce_access-oncall_assignment-00:sub-operations-no-last:after_penultimate_success,2.25,34.125,0.5,-1.75,31.875
structural,qwen3-4b,structural:inventory_fulfillment-cycle_count_variance-02:sub-operations-no-last:after_penultimate_success,resolve_cycle_count_variance,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-capacity_utilization-04:sub-operations-no-last:after_penultimate_success,-16.75,27.25,-8.5,8.25,44.0
structural,qwen3-4b,structural:workforce_access-training_requirement-03:sub-operations-no-last:after_penultimate_success,resolve_training_requirement,same_condition_token_matched,high_to_low,structural:workforce_access-oncall_assignment-01:sub-operations-no-last:after_penultimate_success,9.0,36.5,-8.25,-17.25,27.5
structural,qwen3-4b,structural:contracts_documents-section_summary-01:sub-operations-no-last:after_penultimate_success,resolve_section_summary,same_condition_token_matched,high_to_low,structural:contracts_documents-citation_target-01:sub-operations-no-last:after_penultimate_success,-17.0,26.875,-1.0,16.0,43.875
structural,qwen3-4b,structural:inventory_fulfillment-replenishment_source-04:sub-operations-no-last:after_penultimate_success,resolve_replenishment_source,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success,-1.25,9.75,4.75,6.0,11.0
structural,qwen3-4b,structural:inventory_fulfillment-capacity_utilization-04:sub-operations-no-last:after_penultimate_success,resolve_capacity_utilization,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success,-8.5,21.125,4.75,13.25,29.625
structural,qwen3-4b,structural:workforce_access-shift_eligibility-00:sub-operations-no-last:after_penultimate_success,resolve_shift_eligibility,same_condition_token_matched,high_to_low,structural:workforce_access-oncall_assignment-02:sub-operations-no-last:after_penultimate_success,16.75,30.125,-9.0,-25.75,13.375
structural,qwen3-4b,structural:compliance_audit-segregation_conflict-01:sub-operations-no-last:after_penultimate_success,resolve_segregation_conflict,same_condition_token_matched,high_to_low,structural:compliance_audit-retention_deadline-03:sub-operations-no-last:after_penultimate_success,19.25,32.875,11.0,-8.25,13.625
structural,qwen3-4b,structural:inventory_fulfillment-reorder_quantity-01:sub-operations-no-last:after_penultimate_success,resolve_reorder_quantity,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-expiry_risk-01:sub-operations-no-last:after_penultimate_success,-7.0,28.9375,-16.25,-9.25,35.9375
structural,qwen3-4b,structural:workforce_access-badge_expiry-03:sub-operations-no-last:after_penultimate_success,resolve_badge_expiry,same_condition_token_matched,high_to_low,structural:workforce_access-leave_balance-02:sub-operations-no-last:after_penultimate_success,-3.5,33.5,0.5,4.0,37.0
structural,qwen3-4b,structural:compliance_audit-risk_rating-01:sub-operations-no-last:after_penultimate_success,resolve_risk_rating,same_condition_token_matched,high_to_low,structural:compliance_audit-policy_applicability-02:sub-operations-no-last:after_penultimate_success,4.5,34.625,-11.75,-16.25,30.125
structural,qwen3-4b,structural:pricing_billing-currency_amount-00:sub-operations-no-last:after_penultimate_success,resolve_currency_amount,same_condition_token_matched,high_to_low,structural:pricing_billing-margin_floor-01:sub-operations-no-last:after_penultimate_success,-15.75,5.75,-5.0,10.75,21.5
structural,qwen3-4b,structural:workforce_access-offboarding_actions-01:sub-operations-no-last:after_penultimate_success,resolve_offboarding_actions,same_condition_token_matched,high_to_low,structural:workforce_access-oncall_assignment-02:sub-operations-no-last:after_penultimate_success,-16.75,28.75,-9.0,7.75,45.5
structural,qwen3-4b,structural:contracts_documents-amendment_impact-00:sub-operations-no-last:after_penultimate_success,resolve_amendment_impact,same_condition_token_matched,high_to_low,structural:contracts_documents-effective_clause-00:sub-operations-no-last:after_penultimate_success,25.0,27.75,7.0,-18.0,2.75
structural,qwen3-4b,structural:inventory_fulfillment-replenishment_source-02:sub-operations-no-last:after_penultimate_success,resolve_replenishment_source,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-sellable_units-00:sub-operations-no-last:after_penultimate_success,-13.0,18.75,-7.75,5.25,31.75
structural,qwen3-4b,structural:contracts_documents-latest_version-03:sub-operations-no-last:after_penultimate_success,resolve_latest_version,same_condition_token_matched,high_to_low,structural:contracts_documents-signature_status-04:sub-operations-no-last:after_penultimate_success,-13.5,17.5,-14.25,-0.75,31.0
structural,qwen3-4b,structural:workforce_access-shift_eligibility-01:sub-operations-no-last:after_penultimate_success,resolve_shift_eligibility,same_condition_token_matched,high_to_low,structural:workforce_access-offboarding_actions-01:sub-operations-no-last:after_penultimate_success,2.5,29.75,-16.75,-19.25,27.25
structural,qwen3-4b,structural:contracts_documents-effective_clause-01:sub-operations-no-last:after_penultimate_success,resolve_effective_clause,same_condition_token_matched,high_to_low,structural:contracts_documents-contract_deadline-04:sub-operations-no-last:after_penultimate_success,11.125,27.5625,10.25,-0.875,16.4375
structural,qwen3-4b,structural:inventory_fulfillment-sellable_units-04:sub-operations-no-last:after_penultimate_success,resolve_sellable_units,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-capacity_utilization-01:sub-operations-no-last:after_penultimate_success,11.25,22.75,-11.5,-22.75,11.5
structural,qwen3-4b,structural:customer_support-escalation_target-03:sub-operations-no-last:after_penultimate_success,resolve_escalation_target,same_condition_token_matched,high_to_low,structural:customer_support-refund_eligibility-04:sub-operations-no-last:after_penultimate_success,-8.25,26.75,-6.5,1.75,35.0
structural,qwen3-4b,structural:procurement_suppliers-quote_rank-04:sub-operations-no-last:after_penultimate_success,resolve_quote_rank,same_condition_token_matched,high_to_low,structural:procurement_suppliers-receipt_variance-01:sub-operations-no-last:after_penultimate_success,11.0,34.8125,-14.0,-25.0,23.8125
structural,qwen3-4b,structural:procurement_suppliers-return_authorization-02:sub-operations-no-last:after_penultimate_success,resolve_return_authorization,same_condition_token_matched,high_to_low,structural:procurement_suppliers-quote_rank-03:sub-operations-no-last:after_penultimate_success,-1.5,24.625,17.375,18.875,26.125
structural,qwen3-4b,structural:contracts_documents-obligation_owner-02:sub-operations-no-last:after_penultimate_success,resolve_obligation_owner,same_condition_token_matched,high_to_low,structural:contracts_documents-retention_class-00:sub-operations-no-last:after_penultimate_success,-11.5,19.125,-6.25,5.25,30.625
structural,qwen3-4b,structural:compliance_audit-filing_readiness-01:sub-operations-no-last:after_penultimate_success,resolve_filing_readiness,same_condition_token_matched,high_to_low,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success,-10.0,27.0,-3.75,6.25,37.0
structural,qwen3-4b,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success,resolve_retention_deadline,same_condition_token_matched,high_to_low,structural:compliance_audit-filing_readiness-04:sub-operations-no-last:after_penultimate_success,-3.75,30.125,-4.5,-0.75,33.875
structural,qwen3-4b,structural:compliance_audit-evidence_completeness-04:sub-operations-no-last:after_penultimate_success,resolve_evidence_completeness,same_condition_token_matched,high_to_low,structural:compliance_audit-remediation_owner-02:sub-operations-no-last:after_penultimate_success,1.25,32.75,-13.5,-14.75,31.5
structural,qwen3-4b,structural:compliance_audit-evidence_completeness-01:sub-operations-no-last:after_penultimate_success,resolve_evidence_completeness,same_condition_token_matched,high_to_low,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success,-11.25,32.625,1.25,12.5,43.875
structural,qwen3-4b,structural:compliance_audit-policy_applicability-03:sub-operations-no-last:after_penultimate_success,resolve_policy_applicability,same_condition_token_matched,high_to_low,structural:compliance_audit-remediation_owner-00:sub-operations-no-last:after_penultimate_success,-14.0,8.25,-12.25,1.75,22.25
structural,qwen3-4b,structural:workforce_access-oncall_assignment-00:sub-operations-no-last:after_penultimate_success,resolve_oncall_assignment,same_condition_token_matched,high_to_low,structural:workforce_access-badge_expiry-02:sub-operations-no-last:after_penultimate_success,0.5,26.625,2.25,1.75,26.125
structural,qwen3-4b,structural:compliance_audit-risk_rating-00:sub-operations-no-last:after_penultimate_success,resolve_risk_rating,same_condition_token_matched,high_to_low,structural:compliance_audit-audit_sample-02:sub-operations-no-last:after_penultimate_success,-1.0,32.375,10.0,11.0,33.375
structural,qwen3-4b,structural:compliance_audit-filing_readiness-04:sub-operations-no-last:after_penultimate_success,resolve_filing_readiness,same_condition_token_matched,high_to_low,structural:compliance_audit-retention_deadline-02:sub-operations-no-last:after_penultimate_success,-4.5,32.25,-3.75,0.75,36.75
structural,qwen3-4b,structural:procurement_suppliers-quote_rank-02:sub-operations-no-last:after_penultimate_success,resolve_quote_rank,same_condition_token_matched,high_to_low,structural:procurement_suppliers-receipt_variance-01:sub-operations-no-last:after_penultimate_success,16.75,34.0,-14.0,-30.75,17.25
structural,qwen3-4b,structural:compliance_audit-segregation_conflict-00:sub-operations-no-last:after_penultimate_success,resolve_segregation_conflict,same_condition_token_matched,high_to_low,structural:compliance_audit-filing_readiness-00:sub-operations-no-last:after_penultimate_success,-11.0,35.125,1.25,12.25,46.125
structural,qwen3-4b,structural:pricing_billing-tax_amount-03:sub-operations-no-last:after_penultimate_success,resolve_tax_amount,same_condition_token_matched,high_to_low,structural:pricing_billing-shipping_charge-02:sub-operations-no-last:after_penultimate_success,15.125,26.0,11.75,-3.375,10.875
structural,qwen3-4b,structural:procurement_suppliers-receipt_variance-01:sub-operations-no-last:after_penultimate_success,resolve_receipt_variance,same_condition_token_matched,high_to_low,structural:procurement_suppliers-quote_rank-02:sub-operations-no-last:after_penultimate_success,-14.0,33.6875,16.75,30.75,47.6875
structural,qwen3-4b,structural:procurement_suppliers-expedite_decision-01:sub-operations-no-last:after_penultimate_success,resolve_expedite_decision,same_condition_token_matched,high_to_low,structural:procurement_suppliers-contract_compliance-03:sub-operations-no-last:after_penultimate_success,3.75,27.875,8.0,4.25,24.125
structural,qwen3-4b,structural:customer_support-next_action-01:sub-operations-no-last:after_penultimate_success,resolve_next_action,same_condition_token_matched,high_to_low,structural:customer_support-case_priority-03:sub-operations-no-last:after_penultimate_success,-17.75,24.25,-0.25,17.5,42.0
structural,qwen3-4b,structural:inventory_fulfillment-sellable_units-00:sub-operations-no-last:after_penultimate_success,resolve_sellable_units,same_condition_token_matched,high_to_low,structural:inventory_fulfillment-capacity_utilization-01:sub-operations-no-last:after_penultimate_success,-7.75,19.5,-11.5,-3.75,27.25
structural,qwen3-4b,structural:customer_support-case_priority-03:sub-operations-no-last:after_penultimate_success,resolve_case_priority,same_condition_token_matched,high_to_low,structural:customer_support-next_action-02:sub-operations-no-last:after_penultimate_success,-0.25,26.125,-12.5,-12.25,26.375
structural,qwen3-4b,structural:procurement_suppliers-expedite_decision-00:sub-operations-no-last:after_penultimate_success,resolve_expedite_decision,same_condition_token_matched,high_to_low,structural:procurement_suppliers-supplier_eligibility-02:sub-operations-no-last:after_penultimate_success,-5.0,30.875,-6.25,-1.25,35.875
structural,qwen3-4b,structural:procurement_suppliers-vendor_score-04:sub-operations-no-last:after_penultimate_success,resolve_vendor_score,same_condition_token_matched,high_to_low,structural:procurement_suppliers-lead_time-01:sub-operations-no-last:after_penultimate_success,-11.25,25.5,1.0,12.25,36.75
structural,qwen3-4b,structural:compliance_audit-retention_deadline-01:sub-operations-no-last:after_penultimate_success,resolve_retention_deadline,same_condition_token_matched,high_to_low,structural:compliance_audit-risk_rating-01:sub-operations-no-last:after_penultimate_success,-5.25,34.375,4.5,9.75,39.625
structural,qwen3-4b,structural:workforce_access-badge_expiry-04:sub-operations-no-last:after_penultimate_success,resolve_badge_expiry,same_condition_token_matched,high_to_low,structural:workforce_access-leave_balance-00:sub-operations-no-last:after_penultimate_success,-3.5,34.25,5.25,8.75,37.75
