family,model,case_id,pair_id,domain,variant_id,termination_reason,outcome_success,successful_suffix_exact,unavailable_correct,unnecessary_call_count,model_turns,environment_calls,restarts,prompt_tokens,completion_tokens,total_tokens,visible_operation_count,target_step_count,included_target_step_count,removed_target_step_count,decoy_call_count,successful_decoy_call_count,wrong_state_commit_count,wrong_state_committed,false_finish_after_decoy,wrong_state_detected,restart_recovered,compensating_action_count,turns_to_detection,target_state_achieved,residual_wrong_state_at_termination,reachability,target_operation_id,query_template_id,behavior_correct
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,baseline,finish,1,1,,,2,1,0,7487,374,7861,10,3,0,0,,,,,,,,,,,,reachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,no-gold,unavailable,0,,1,0,1,0,0,3429,854,4283,9,3,0,0,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34133,705,34838,30,3,3,0,,,,,,,,,,,,reachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,sub-operations-first-only,unavailable,0,,1,1,2,1,0,15553,1781,17334,28,3,1,2,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,sub-operations-no-first,unavailable,0,,1,4,6,4,1,106489,20134,126623,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7395,1579,8974,27,3,0,3,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-00,,compliance_audit,sub-operations-no-last,unavailable,0,,1,2,3,2,0,24463,2350,26813,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,0,1
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,baseline,finish,1,1,,,2,1,0,7527,396,7923,10,3,0,0,,,,,,,,,,,,reachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,no-gold,unavailable,0,,1,6,7,6,0,43433,5812,49245,9,3,0,0,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,sub-operations,finish,1,1,,,4,3,0,34207,777,34984,30,3,3,0,,,,,,,,,,,,reachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,sub-operations-first-only,budget_exhausted,0,,0,4,8,4,1,101967,9001,110968,28,3,1,2,,,,,,,,,,,,unreachable,resolve_audit_sample,1,0
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,sub-operations-no-first,unavailable,0,,1,6,8,6,1,123173,15142,138315,29,3,2,1,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
structural,glm-5.2,compliance_audit-audit_sample-01,,compliance_audit,sub-operations-no-gold,unavailable,0,,1,0,1,0,0,7398,1611,9009,27,3,0,3,,,,,,,,,,,,unreachable,resolve_audit_sample,1,1
