family,model,case_id,pair_id,domain,variant_id,termination_reason,outcome_success,successful_suffix_exact,unavailable_correct,unnecessary_call_count,model_turns,environment_calls,restarts,prompt_tokens,completion_tokens,total_tokens,visible_operation_count,target_step_count,included_target_step_count,removed_target_step_count,decoy_call_count,successful_decoy_call_count,wrong_state_commit_count,wrong_state_committed,false_finish_after_decoy,wrong_state_detected,restart_recovered,compensating_action_count,turns_to_detection,target_state_achieved,residual_wrong_state_at_termination,reachability,target_operation_id,query_template_id,behavior_correct
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-00,compliance-risk-vs-sample,compliance_audit,state-decoy-failure,unavailable,0,,1,4,8,4,1,94633,20325,114958,3,,,,2,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,0,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-00,compliance-risk-vs-sample,compliance_audit,state-decoy-success,unavailable,0,,1,1,2,1,0,7093,4764,11857,3,,,,0,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,0,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-00,compliance-risk-vs-sample,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,6074,929,7003,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,0,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-00,compliance-risk-vs-sample,compliance_audit,state-gold-only,finish,1,1,,,2,1,0,5603,730,6333,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,0,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-01,compliance-risk-vs-sample,compliance_audit,state-decoy-failure,unavailable,0,,1,0,1,0,0,2542,1081,3623,3,,,,0,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,1,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-01,compliance-risk-vs-sample,compliance_audit,state-decoy-success,unavailable,0,,1,5,7,5,1,113998,23433,137431,3,,,,3,1,1,1,0,1,1,0,1,0,0,unreachable,replace_audit_population_record,1,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-01,compliance-risk-vs-sample,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,6884,1897,8781,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,1,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-01,compliance-risk-vs-sample,compliance_audit,state-gold-only,finish,1,1,,,2,1,0,5524,755,6279,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,1,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-02,compliance-risk-vs-sample,compliance_audit,state-decoy-failure,budget_exhausted,0,,0,5,8,5,1,51154,49043,100197,3,,,,3,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,2,0
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-02,compliance-risk-vs-sample,compliance_audit,state-decoy-success,unavailable,0,,1,0,1,0,0,2546,1013,3559,3,,,,0,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,2,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-02,compliance-risk-vs-sample,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,5802,639,6441,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,2,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-02,compliance-risk-vs-sample,compliance_audit,state-gold-only,finish,1,1,,,2,1,0,5503,693,6196,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,2,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-03,compliance-risk-vs-sample,compliance_audit,state-decoy-failure,unavailable,0,,1,1,2,1,0,6748,2575,9323,3,,,,0,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,3,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-03,compliance-risk-vs-sample,compliance_audit,state-decoy-success,unavailable,0,,1,4,6,4,1,54174,12775,66949,3,,,,2,1,1,1,0,1,1,0,1,0,0,unreachable,replace_audit_population_record,3,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-03,compliance-risk-vs-sample,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,5756,671,6427,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,3,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-03,compliance-risk-vs-sample,compliance_audit,state-gold-only,finish,1,1,,,2,1,0,5502,692,6194,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,3,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-04,compliance-risk-vs-sample,compliance_audit,state-decoy-failure,budget_exhausted,0,,0,6,8,6,1,83459,46148,129607,3,,,,4,0,0,0,0,0,0,0,,0,0,unreachable,replace_audit_population_record,4,0
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-04,compliance-risk-vs-sample,compliance_audit,state-decoy-success,unavailable,0,,1,4,6,4,1,79353,30486,109839,3,,,,2,1,1,1,0,1,1,0,1,0,0,unreachable,replace_audit_population_record,4,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-04,compliance-risk-vs-sample,compliance_audit,state-gold-decoy,finish,1,1,,,6,5,0,48542,9911,58453,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,4,1
semantic,glm-5.2,stateful-compliance_audit-replace_audit_population_record-04,compliance-risk-vs-sample,compliance_audit,state-gold-only,finish,1,1,,,5,3,0,23228,3672,26900,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,replace_audit_population_record,4,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-00,compliance-role-vs-retention,compliance_audit,state-decoy-failure,unavailable,0,,1,5,6,5,0,27446,6641,34087,3,,,,3,0,0,0,0,0,0,0,,0,0,unreachable,set_assigned_role,0,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-00,compliance-role-vs-retention,compliance_audit,state-decoy-success,unavailable,0,,1,0,1,0,0,2560,1910,4470,3,,,,0,0,0,0,0,0,0,0,,0,0,unreachable,set_assigned_role,0,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-00,compliance-role-vs-retention,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,6317,1195,7512,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,set_assigned_role,0,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-00,compliance-role-vs-retention,compliance_audit,state-gold-only,finish,1,1,,,3,2,0,10557,2418,12975,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,set_assigned_role,0,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-01,compliance-role-vs-retention,compliance_audit,state-decoy-failure,unavailable,0,,1,6,8,6,1,48622,8766,57388,3,,,,4,0,0,0,0,0,0,0,,0,0,unreachable,set_assigned_role,1,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-01,compliance-role-vs-retention,compliance_audit,state-decoy-success,budget_exhausted,0,,0,4,8,4,0,41900,5275,47175,3,,,,2,2,2,1,1,0,0,0,,0,1,unreachable,set_assigned_role,1,0
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-01,compliance-role-vs-retention,compliance_audit,state-gold-decoy,finish,1,1,,,2,1,0,5795,771,6566,4,,,,0,0,0,0,0,0,0,0,,1,0,reachable,set_assigned_role,1,1
semantic,glm-5.2,stateful-compliance_audit-set_assigned_role-01,compliance-role-vs-retention,compliance_audit,state-gold-only,finish,1,1,,,2,1,0,5523,671,6194,3,,,,0,0,0,0,0,0,0,0,,1,0,reachable,set_assigned_role,1,1
