model,family,contrast,pairs,margin_before,margin_after,mean_change,following_direction,following_direction_pct
qwen3-4b,semantic,decoy_success_minus_failure,350,-13.354837488215193,-19.109896817134196,-5.755059328919003,350,100.0
qwen3-4b,structural,sub-operations-first-only,211,-31.203740721991498,-25.061715198037863,6.142025523953631,162,76.77725118483413
qwen3-4b,structural,sub-operations-no-first,211,-16.972765529040647,-14.418252405532268,2.5545131235083813,186,88.15165876777252
qwen3-4b,structural,sub-operations-no-gold,211,-16.972765529040647,-13.219202953358527,3.7535625756821216,174,82.46445497630332
qwen3-4b,structural,sub-operations-no-last,204,-37.297507277612425,-22.861231585730266,14.436275691882157,198,97.05882352941177
qwen3-8b,semantic,decoy_success_minus_failure,350,-2.2025598992661237,-13.426494519144123,-11.223934619878001,350,100.0
qwen3-8b,structural,sub-operations-first-only,329,-31.170222214333283,-20.905727330094816,10.264494884238468,286,86.93009118541033
qwen3-8b,structural,sub-operations-no-first,329,-17.13386242180534,-15.221510293636621,1.9123521281687188,245,74.46808510638297
qwen3-8b,structural,sub-operations-no-gold,329,-17.13386242180534,-13.50465057201809,3.629211849787249,227,68.9969604863222
qwen3-8b,structural,sub-operations-no-last,319,-28.518485009961342,-17.859733639168198,10.658751370793142,293,91.84952978056427
