model,family,pair_id,case_id,cluster_id,domain,contrast,phenotype,high_margin,low_margin,effect
qwen3-4b,semantic,semantic:stateful-compliance_audit-replace_audit_population_record-00:decoy-observation,stateful-compliance_audit-replace_audit_population_record-00,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.500036992615463,-12.875269352731003,-7.62476763988446
qwen3-4b,semantic,semantic:stateful-compliance_audit-replace_audit_population_record-01:decoy-observation,stateful-compliance_audit-replace_audit_population_record-01,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.125001627548635,-14.125143840295898,-5.999857787252736
qwen3-4b,semantic,semantic:stateful-compliance_audit-replace_audit_population_record-02:decoy-observation,stateful-compliance_audit-replace_audit_population_record-02,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.12500113542194,-13.250248925412563,-6.874752210009376
qwen3-4b,semantic,semantic:stateful-compliance_audit-replace_audit_population_record-03:decoy-observation,stateful-compliance_audit-replace_audit_population_record-03,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.81256138770732,-14.625537497635705,-6.187023890071615
qwen3-4b,semantic,semantic:stateful-compliance_audit-replace_audit_population_record-04:decoy-observation,stateful-compliance_audit-replace_audit_population_record-04,compliance-risk-vs-sample,compliance_audit,decoy_success_minus_failure,explicit_failure,-20.56250114766258,-13.500212285732239,-7.062288861930341
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_assigned_role-00:decoy-observation,stateful-compliance_audit-set_assigned_role-00,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.937501920491464,-14.875108680606033,-5.062393239885431
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_assigned_role-01:decoy-observation,stateful-compliance_audit-set_assigned_role-01,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-18.375002421521053,-14.875141149111919,-3.4998612724091345
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_assigned_role-02:decoy-observation,stateful-compliance_audit-set_assigned_role-02,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.250005678878097,-15.625096098763954,-3.624909580114142
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_assigned_role-03:decoy-observation,stateful-compliance_audit-set_assigned_role-03,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.937803458045323,-16.125079326955486,-3.812724131089837
qwen3-4b,semantic,semantic:stateful-compliance_audit-set_assigned_role-04:decoy-observation,stateful-compliance_audit-set_assigned_role-04,compliance-role-vs-retention,compliance_audit,decoy_success_minus_failure,explicit_failure,-19.50000357012238,-15.875034436930136,-3.624969133192245
