model,family,control,recipient_pair_id,donor_pair_id
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-backorder_priority-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-transferable_units-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-backorder_priority-04:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-transferable_units-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-capacity_utilization-01:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-expiry_risk-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-capacity_utilization-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-reorder_quantity-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-capacity_utilization-03:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-expiry_risk-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-capacity_utilization-04:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-cycle_count_variance-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-capacity_utilization-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-expiry_risk-01:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-capacity_utilization-02:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-expiry_risk-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-reorder_quantity-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-pick_location-01:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-backorder_priority-04:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-pick_location-03:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-replenishment_source-03:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-reorder_quantity-01:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-expiry_risk-01:sub-operations-no-last:after_penultimate_success
qwen3-8b,structural,same_condition_token_matched,structural:inventory_fulfillment-reorder_quantity-02:sub-operations-no-last:after_penultimate_success,structural:inventory_fulfillment-capacity_utilization-03:sub-operations-no-last:after_penultimate_success
