family,model,variant_id,cases,correct,mean_model_turns,median_model_turns,mean_environment_calls,accuracy_pct
semantic,glm-5.2,state-decoy-failure,350,290,5.102857142857143,6.0,3.38,82.85714285714286
semantic,glm-5.2,state-decoy-success,350,208,5.1571428571428575,6.0,2.682857142857143,59.42857142857143
semantic,glm-5.2,state-gold-decoy,350,339,3.394285714285714,3.0,2.2257142857142855,96.85714285714286
semantic,glm-5.2,state-gold-only,350,348,3.4,3.0,2.28,99.42857142857143
semantic,deepseek-v4-flash,state-decoy-failure,350,144,6.962857142857143,8.0,4.365714285714286,41.142857142857146
semantic,deepseek-v4-flash,state-decoy-success,350,74,7.2371428571428575,8.0,4.048571428571429,21.142857142857142
semantic,deepseek-v4-flash,state-gold-decoy,350,284,4.485714285714286,4.0,3.182857142857143,81.14285714285714
semantic,deepseek-v4-flash,state-gold-only,350,302,4.377142857142857,4.0,3.142857142857143,86.28571428571429
semantic,qwen3.5-27b,state-decoy-failure,350,346,3.145714285714286,3.0,1.8085714285714285,98.85714285714286
semantic,qwen3.5-27b,state-decoy-success,350,273,4.177142857142857,3.0,1.977142857142857,78.0
semantic,qwen3.5-27b,state-gold-decoy,350,314,2.5828571428571427,2.0,1.522857142857143,89.71428571428571
semantic,qwen3.5-27b,state-gold-only,350,308,2.5828571428571427,2.0,1.5314285714285714,88.0
structural,glm-5.2,baseline,400,400,2.0,2.0,1.0,100.0
structural,glm-5.2,no-gold,400,379,3.3775,2.0,2.11,94.75
structural,glm-5.2,sub-operations,400,400,3.975,4.0,2.975,100.0
structural,glm-5.2,sub-operations-first-only,400,337,4.78,4.0,2.0875,84.25
structural,glm-5.2,sub-operations-no-first,400,390,6.9325,8.0,5.095,97.5
structural,glm-5.2,sub-operations-no-gold,400,357,4.2525,4.0,2.675,89.25
structural,glm-5.2,sub-operations-no-last,400,86,7.235,8.0,3.56,21.5
structural,deepseek-v4-flash,baseline,400,400,2.0125,2.0,1.0075,100.0
structural,deepseek-v4-flash,no-gold,400,370,4.9075,5.0,3.51,92.5
structural,deepseek-v4-flash,sub-operations,400,397,3.99,4.0,2.99,99.25
structural,deepseek-v4-flash,sub-operations-first-only,400,342,5.2675,7.0,2.1675,85.5
structural,deepseek-v4-flash,sub-operations-no-first,400,368,4.8075,5.0,3.3325,92.0
structural,deepseek-v4-flash,sub-operations-no-gold,400,354,5.0625,6.0,3.585,88.5
structural,deepseek-v4-flash,sub-operations-no-last,400,107,7.1625,8.0,3.64,26.75
structural,qwen3.5-27b,baseline,400,400,2.0025,2.0,1.0,100.0
structural,qwen3.5-27b,no-gold,400,383,5.23,6.0,3.8775,95.75
structural,qwen3.5-27b,sub-operations,400,396,4.0575,4.0,3.0425,99.0
structural,qwen3.5-27b,sub-operations-first-only,400,327,5.0125,4.0,2.48,81.75
structural,qwen3.5-27b,sub-operations-no-first,400,269,6.9825,8.0,5.31,67.25
structural,qwen3.5-27b,sub-operations-no-gold,400,333,6.1375,7.0,4.6825,83.25
structural,qwen3.5-27b,sub-operations-no-last,400,182,6.5,8.0,3.3125,45.5
