family,model,variant_id,termination_reason,residual_wrong_state,count,cases,pct
semantic,glm-5.2,state-decoy-failure,unavailable,No,290,350,82.85714285714286
semantic,glm-5.2,state-decoy-success,unavailable,No,204,350,58.285714285714285
semantic,glm-5.2,state-gold-decoy,finish,No,339,350,96.85714285714286
semantic,glm-5.2,state-gold-only,finish,No,348,350,99.42857142857143
semantic,glm-5.2,state-decoy-failure,budget_exhausted,No,60,350,17.142857142857142
semantic,glm-5.2,state-decoy-success,budget_exhausted,Yes,95,350,27.142857142857142
semantic,glm-5.2,state-decoy-success,budget_exhausted,No,47,350,13.428571428571429
semantic,glm-5.2,state-decoy-success,unavailable,Yes,4,350,1.1428571428571428
semantic,glm-5.2,state-gold-decoy,budget_exhausted,No,9,350,2.5714285714285716
semantic,glm-5.2,state-gold-decoy,unavailable,No,2,350,0.5714285714285714
semantic,glm-5.2,state-gold-only,unavailable,No,2,350,0.5714285714285714
semantic,deepseek-v4-flash,state-decoy-failure,budget_exhausted,No,206,350,58.857142857142854
semantic,deepseek-v4-flash,state-decoy-success,budget_exhausted,Yes,161,350,46.0
semantic,deepseek-v4-flash,state-gold-decoy,finish,No,284,350,81.14285714285714
semantic,deepseek-v4-flash,state-gold-only,finish,No,302,350,86.28571428571429
semantic,deepseek-v4-flash,state-decoy-failure,unavailable,No,144,350,41.142857142857146
semantic,deepseek-v4-flash,state-decoy-success,budget_exhausted,No,115,350,32.857142857142854
semantic,deepseek-v4-flash,state-decoy-success,unavailable,No,64,350,18.285714285714285
semantic,deepseek-v4-flash,state-gold-only,budget_exhausted,No,24,350,6.857142857142857
semantic,deepseek-v4-flash,state-gold-decoy,unavailable,No,26,350,7.428571428571429
semantic,deepseek-v4-flash,state-gold-only,unavailable,No,24,350,6.857142857142857
semantic,deepseek-v4-flash,state-gold-decoy,budget_exhausted,No,39,350,11.142857142857142
semantic,deepseek-v4-flash,state-decoy-success,unavailable,Yes,10,350,2.857142857142857
semantic,deepseek-v4-flash,state-gold-decoy,budget_exhausted,Yes,1,350,0.2857142857142857
semantic,qwen3.5-27b,state-decoy-failure,unavailable,No,346,350,98.85714285714286
semantic,qwen3.5-27b,state-decoy-success,budget_exhausted,Yes,60,350,17.142857142857142
semantic,qwen3.5-27b,state-gold-decoy,unavailable,No,35,350,10.0
semantic,qwen3.5-27b,state-gold-only,finish,No,308,350,88.0
semantic,qwen3.5-27b,state-decoy-success,unavailable,No,211,350,60.285714285714285
semantic,qwen3.5-27b,state-gold-decoy,finish,No,314,350,89.71428571428571
semantic,qwen3.5-27b,state-decoy-failure,budget_exhausted,No,4,350,1.1428571428571428
semantic,qwen3.5-27b,state-decoy-success,unavailable,Yes,62,350,17.714285714285715
semantic,qwen3.5-27b,state-decoy-success,budget_exhausted,No,17,350,4.857142857142857
semantic,qwen3.5-27b,state-gold-only,unavailable,No,41,350,11.714285714285714
semantic,qwen3.5-27b,state-gold-decoy,budget_exhausted,No,1,350,0.2857142857142857
semantic,qwen3.5-27b,state-gold-only,budget_exhausted,No,1,350,0.2857142857142857
structural,glm-5.2,baseline,finish,N/A,400,400,100.0
structural,glm-5.2,no-gold,unavailable,N/A,379,400,94.75
structural,glm-5.2,sub-operations,finish,N/A,400,400,100.0
structural,glm-5.2,sub-operations-first-only,unavailable,N/A,337,400,84.25
structural,glm-5.2,sub-operations-no-first,unavailable,N/A,390,400,97.5
structural,glm-5.2,sub-operations-no-gold,unavailable,N/A,357,400,89.25
structural,glm-5.2,sub-operations-no-last,unavailable,N/A,86,400,21.5
structural,glm-5.2,sub-operations-first-only,budget_exhausted,N/A,63,400,15.75
structural,glm-5.2,sub-operations-no-last,budget_exhausted,N/A,314,400,78.5
structural,glm-5.2,no-gold,budget_exhausted,N/A,21,400,5.25
structural,glm-5.2,sub-operations-no-gold,budget_exhausted,N/A,43,400,10.75
structural,glm-5.2,sub-operations-no-first,budget_exhausted,N/A,10,400,2.5
structural,deepseek-v4-flash,baseline,finish,N/A,400,400,100.0
structural,deepseek-v4-flash,no-gold,unavailable,N/A,370,400,92.5
structural,deepseek-v4-flash,sub-operations,finish,N/A,397,400,99.25
structural,deepseek-v4-flash,sub-operations-first-only,unavailable,N/A,342,400,85.5
structural,deepseek-v4-flash,sub-operations-no-first,unavailable,N/A,368,400,92.0
structural,deepseek-v4-flash,sub-operations-no-gold,unavailable,N/A,354,400,88.5
structural,deepseek-v4-flash,sub-operations-no-last,budget_exhausted,N/A,293,400,73.25
structural,deepseek-v4-flash,sub-operations-no-last,unavailable,N/A,107,400,26.75
structural,deepseek-v4-flash,sub-operations-no-gold,budget_exhausted,N/A,46,400,11.5
structural,deepseek-v4-flash,no-gold,budget_exhausted,N/A,30,400,7.5
structural,deepseek-v4-flash,sub-operations-first-only,budget_exhausted,N/A,58,400,14.5
structural,deepseek-v4-flash,sub-operations,unavailable,N/A,3,400,0.75
structural,deepseek-v4-flash,sub-operations-no-first,budget_exhausted,N/A,32,400,8.0
structural,qwen3.5-27b,baseline,finish,N/A,400,400,100.0
structural,qwen3.5-27b,no-gold,unavailable,N/A,383,400,95.75
structural,qwen3.5-27b,sub-operations,finish,N/A,396,400,99.0
structural,qwen3.5-27b,sub-operations-first-only,unavailable,N/A,327,400,81.75
structural,qwen3.5-27b,sub-operations-no-first,unavailable,N/A,269,400,67.25
structural,qwen3.5-27b,sub-operations-no-gold,unavailable,N/A,333,400,83.25
structural,qwen3.5-27b,sub-operations-no-last,budget_exhausted,N/A,218,400,54.5
structural,qwen3.5-27b,sub-operations-no-last,unavailable,N/A,182,400,45.5
structural,qwen3.5-27b,sub-operations-no-gold,budget_exhausted,N/A,67,400,16.75
structural,qwen3.5-27b,sub-operations-first-only,budget_exhausted,N/A,73,400,18.25
structural,qwen3.5-27b,sub-operations-no-first,budget_exhausted,N/A,131,400,32.75
structural,qwen3.5-27b,no-gold,budget_exhausted,N/A,17,400,4.25
structural,qwen3.5-27b,sub-operations,unavailable,N/A,4,400,1.0
